patient_id,file_id,file_name,md5
TCGA-05-5425,26ea6a31-ea33-4bb9-814f-c0840dafe69e,09728f38-787f-4868-b28d-8cf6afa3c71b.rna_seq.augmented_star_gene_counts.tsv,aaf8cfc5d793ce80ece61c7e168c55dd
TCGA-05-5715,20daa4af-7d88-42c8-9279-34372e687e5d,9446312e-b87c-411c-b9a3-a19603eff965.rna_seq.augmented_star_gene_counts.tsv,b8c63fb95772121ef09e0c404fc97c80
TCGA-35-4122,58dcd45a-714f-4a22-b367-813dd41829de,f21b5258-2e93-4fe0-bd98-9eb1216e824b.rna_seq.augmented_star_gene_counts.tsv,5c25b3fcf6e406dd7eda01e20d90b5d3
TCGA-35-4123,5a7bd024-3d92-4e64-86bd-b6eea34f6526,e9f19ff2-29c5-4578-9c23-9d58c192ff59.rna_seq.augmented_star_gene_counts.tsv,51f8dffbecf75b35908f5483dfe3d7e5
TCGA-35-5375,0052ae83-7ae5-470a-a125-5cd94a9fa9e9,a6a6b9c6-9db7-42b3-a09f-770b7e126fbb.rna_seq.augmented_star_gene_counts.tsv,3965545354a18beca3a6159f16b254fe
TCGA-38-4625,242a2880-95da-453f-892d-fafd49a4865e,9301f86d-9d6f-4aa6-a640-a543b5aea5db.rna_seq.augmented_star_gene_counts.tsv,db04ade49f3788d672b6dee1d122c3e7
TCGA-38-4626,d1a18468-9c02-4d61-8e3e-43a6d23d402e,9bfd464b-419a-43c0-929a-c1d219713a6f.rna_seq.augmented_star_gene_counts.tsv,7b2ce17ae141f13d17fde3d0f594cd70
TCGA-38-4627,08971a88-cb64-4030-93e5-08d77d2ed654,978fb63c-dae9-4037-81c9-598e87341931.rna_seq.augmented_star_gene_counts.tsv,2fc7061fd638f84bc5aee8e89a793661
TCGA-38-4628,8cdb3ed5-5922-4833-b255-30d9322f8fe9,322ff57d-60a1-45d6-a103-c953d11924f1.rna_seq.augmented_star_gene_counts.tsv,c0f1f2bb8b197bfbade439b9eb0f7ff4
TCGA-38-4629,6855a406-c085-45c7-b789-981786f0c775,9ebc079c-069f-4468-8b9e-680e39a3c4ad.rna_seq.augmented_star_gene_counts.tsv,27b48c36af06bc65f1e56fd5d4acf608
TCGA-38-4630,739b3fc4-0924-4d13-aecc-acc93cb9f486,bc037eb7-5afa-4730-b896-23bf21a31641.rna_seq.augmented_star_gene_counts.tsv,f551ba1938fa0b0fcb81b8e7a4f1b03b
TCGA-38-4631,cab5b00a-9cf2-4e1f-b2f3-93d27b73631e,f48a9d85-c3c7-40bc-9215-760ba3b8fa60.rna_seq.augmented_star_gene_counts.tsv,5154d3e19c898832db7d8d0e19b736de
TCGA-38-4632,665a7af8-9c2d-4a31-9a22-da89fc7107b2,6f53a60f-3be2-48df-a15a-4675e99efba1.rna_seq.augmented_star_gene_counts.tsv,a66b49a6d71bc1607d8a2cac2552bf9e
TCGA-38-6178,ace52699-f049-4a11-ab3d-ce3719c62e41,0e3e11b9-9f43-4a0d-8665-023fae9f8b00.rna_seq.augmented_star_gene_counts.tsv,7edb44b06da1d77cd7dde2a9eece24a8
TCGA-38-7271,81d92351-c619-4585-9281-de33eaaabba4,98d020b1-0467-4131-a3cc-64d288d0e9e7.rna_seq.augmented_star_gene_counts.tsv,6517fb7e1116fc25434382dddce15503
TCGA-38-A44F,7cb19688-bac4-41bf-b69e-977ac0da0aa1,aeea81c2-afda-410d-a0bb-955e7cddda09.rna_seq.augmented_star_gene_counts.tsv,627ad43fa8fa858f2eb4cb406d19f0fe
TCGA-44-2655,eac5ebd0-d788-4908-8eb7-976d6b611667,b8e8f06f-a5a9-4d16-b39f-585dcee31087.rna_seq.augmented_star_gene_counts.tsv,fe8bdb396de968ed406222a96e5f4e03
TCGA-44-2656,77819b24-ea90-427b-8a99-c9a90417c903,b307f8c5-d21f-42ae-9771-07126d58999e.rna_seq.augmented_star_gene_counts.tsv,17ef1ace139348ed26e624c75141db31
TCGA-44-2657,93db566e-8ff9-45b0-afa2-0fbe82b8f580,ab589a7b-7cc9-4257-8fd7-241d2e3658da.rna_seq.augmented_star_gene_counts.tsv,32b6fcb0736a85a6570c344798975243
